ID,Item,FailureMode,Effect,Severity,Occurrence,Detection,RPN,ActionPriority,File,Line
FMEA-1295,assess,Buffer overflow in assess(),Incorrect system behaviour or safety-function failure originating in assess (function),8,4,5,160,high,src/iec61508/iec61508.cpp,98
FMEA-299,render_text,Buffer overflow in render_text(),Incorrect system behaviour or safety-function failure originating in render_text (function),8,4,5,160,high,src/vuln/vuln.hpp,36
FMEA-1491,write,Buffer overflow in write(),Incorrect system behaviour or safety-function failure originating in write (function),8,4,5,160,high,src/testutil/testutil.hpp,32
FMEA-630,SCI,State corruption in SCI(),Incorrect system behaviour or safety-function failure originating in SCI (class),8,4,5,160,high,src/sci/sci.hpp,25
FMEA-1163,render_text,Buffer overflow in render_text(),Incorrect system behaviour or safety-function failure originating in render_text (function),8,4,5,160,high,src/coupling/coupling.hpp,34
FMEA-295,write_json,Buffer overflow in write_json(),Incorrect system behaviour or safety-function failure originating in write_json (function),8,4,5,160,high,src/vuln/vuln.hpp,35
FMEA-1103,tu_visitor,Buffer overflow in tu_visitor(),Incorrect system behaviour or safety-function failure originating in tu_visitor (function),8,4,5,160,high,src/ast/ast.cpp,82
FMEA-1495,main,Buffer overflow in main(),Incorrect system behaviour or safety-function failure originating in main (function),8,4,5,160,high,src/main.cpp,3
FMEA-1291,detect_status,Buffer overflow in detect_status(),Incorrect system behaviour or safety-function failure originating in detect_status (function),8,4,5,160,high,src/iec61508/iec61508.cpp,68
FMEA-290,VulnReport,State corruption in VulnReport(),Incorrect system behaviour or safety-function failure originating in VulnReport (class),8,4,5,160,high,src/vuln/vuln.hpp,26
FMEA-635,write_json,Buffer overflow in write_json(),Incorrect system behaviour or safety-function failure originating in write_json (function),8,4,5,160,high,src/sci/sci.hpp,41
FMEA-962,GSNEdge,State corruption in GSNEdge(),Incorrect system behaviour or safety-function failure originating in GSNEdge (class),8,4,5,160,high,src/safety_case/safety_case.hpp,30
FMEA-1499,parse_dal,Buffer overflow in parse_dal(),Incorrect system behaviour or safety-function failure originating in parse_dal (function),8,4,5,160,high,src/coverage/coverage.cpp,15
FMEA-1447,make_iso26262002,Buffer overflow in make_iso26262002(),Incorrect system behaviour or safety-function failure originating in make_iso26262002 (function),8,4,5,160,high,src/engine/rules.cpp,187
FMEA-638,ArtifactDef,State corruption in ArtifactDef(),Incorrect system behaviour or safety-function failure originating in ArtifactDef (class),8,4,5,160,high,src/sci/sci.cpp,24
FMEA-282,Dependency,State corruption in Dependency(),Incorrect system behaviour or safety-function failure originating in Dependency (class),8,4,5,160,high,src/vuln/vuln.hpp,11
